strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,6.165818701032549143e+00
7.999968715012073517e-03,1.127732529398053885e+01
1.199979055672883987e-02,1.812426208518445492e+01
1.599993370473384857e-02,2.466277295909821987e+01
1.999928429722785950e-02,3.053378453105688095e+01
2.399908378720283508e-02,3.549401189759373665e+01
2.800061739981174469e-02,3.965725181251764297e+01
3.200063854455947876e-02,4.321077810972929001e+01
3.600130602717399597e-02,4.627545632421970367e+01
3.999888524413108826e-02,4.894789722561836243e+01
4.399931803345680237e-02,5.130234657227993011e+01
4.799989610910415649e-02,5.341050423681735992e+01
5.200096219778060913e-02,5.532179087400436401e+01
5.600120127201080322e-02,5.707333183288574219e+01
5.999952554702758789e-02,5.869405558705329895e+01
6.400122493505477905e-02,6.020500728487968445e+01
6.799999624490737915e-02,6.161861488223075867e+01
7.200177013874053955e-02,6.294583338499069214e+01
7.599955797195434570e-02,6.419497564435005188e+01
7.999832183122634888e-02,6.537225198745727539e+01
8.400037139654159546e-02,6.648819798231124878e+01
8.800123631954193115e-02,6.755142447352409363e+01
9.200063347816467285e-02,6.856804460287094116e+01
9.599869698286056519e-02,6.954319578409194946e+01
9.999967366456985474e-02,7.048095548152923584e+01
1.040003299713134766e-01,7.138233023881912231e+01
1.080013066530227661e-01,7.224555027484893799e+01
1.119993701577186584e-01,7.307093235850334167e+01
1.159987673163414001e-01,7.385900133848190308e+01
1.199996247887611389e-01,7.460987770557403564e+01
1.240016818046569824e-01,7.532359641790390015e+01
1.280004382133483887e-01,7.599928075075149536e+01
1.319982260465621948e-01,7.663511127233505249e+01
1.360000073909759521e-01,7.723020893335342407e+01
1.399987787008285522e-01,7.778297537565231323e+01
1.440004706382751465e-01,7.829613286256790161e+01
1.479987949132919312e-01,7.883762621879577637e+01
1.519990414381027222e-01,7.943666046857833862e+01
1.560001075267791748e-01,8.012534338235855103e+01
1.600006818771362305e-01,8.077699726819992065e+01
1.640011072158813477e-01,8.146861642599105835e+01
1.679986864328384399e-01,8.220164597034454346e+01
1.719993650913238525e-01,8.281876420974731445e+01
1.759993880987167358e-01,8.342517644166946411e+01
1.800009161233901978e-01,8.400365763902664185e+01
1.840007156133651733e-01,8.445337313413619995e+01
1.880000680685043335e-01,8.482250088453292847e+01
1.920002102851867676e-01,8.501819503307342529e+01
1.960000246763229370e-01,8.504057198762893677e+01
1.999996602535247803e-01,8.459951877593994141e+01
