strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,3.684412535279989243e+00
7.999968715012073517e-03,6.714798383414745331e+00
1.199979055672883987e-02,1.073445409536361694e+01
1.599993370473384857e-02,1.451900424063205719e+01
1.999928429722785950e-02,1.792827044427394867e+01
2.399908378720283508e-02,2.088984224200248718e+01
2.800061739981174469e-02,2.339861536026000977e+01
3.200063854455947876e-02,2.551884540915489197e+01
3.600130602717399597e-02,2.733224377036094666e+01
3.999888524413108826e-02,2.889747783541679382e+01
4.399931803345680237e-02,3.026310700178146362e+01
4.799989610910415649e-02,3.146351304650306702e+01
5.200096219778060913e-02,3.252387028932571411e+01
5.600120127201080322e-02,3.345979017019271851e+01
5.999952554702758789e-02,3.428449815511703491e+01
6.400122493505477905e-02,3.501341688632965088e+01
6.799999624490737915e-02,3.565524274110794067e+01
7.200177013874053955e-02,3.622116905450820923e+01
7.599955797195434570e-02,3.672436386346817017e+01
7.999832183122634888e-02,3.717530351877212524e+01
8.400037139654159546e-02,3.758276689052581787e+01
8.800123631954193115e-02,3.795341360569000244e+01
9.200063347816467285e-02,3.829271912574768066e+01
9.599869698286056519e-02,3.860461390018463135e+01
9.999967366456985474e-02,3.889241683483123779e+01
1.040003299713134766e-01,3.915878224372863770e+01
1.080013066530227661e-01,3.940643739700317383e+01
1.119993701577186584e-01,3.964784309267997742e+01
1.159987673163414001e-01,3.991941660642623901e+01
1.199996247887611389e-01,4.015317282080650330e+01
1.240016818046569824e-01,4.039767310023307800e+01
1.280004382133483887e-01,4.062654519081115723e+01
1.319982260465621948e-01,4.086756658554077148e+01
1.360000073909759521e-01,4.107561221718788147e+01
1.399987787008285522e-01,4.134034672379493713e+01
1.440004706382751465e-01,4.158445060253143311e+01
1.479987949132919312e-01,4.178901484608650208e+01
1.519990414381027222e-01,4.198775738477706909e+01
1.560001075267791748e-01,4.216459268331527710e+01
1.600006818771362305e-01,4.240531089901924133e+01
1.640011072158813477e-01,4.263633051514625549e+01
1.679986864328384399e-01,4.297941625118255615e+01
1.719993650913238525e-01,4.327939686179161072e+01
1.759993880987167358e-01,4.363400572538375854e+01
1.800009161233901978e-01,4.399116471409797668e+01
1.840007156133651733e-01,4.435988879203796387e+01
1.880000680685043335e-01,4.471815171837806702e+01
1.920002102851867676e-01,4.506456670165061951e+01
1.960000246763229370e-01,4.529378312826156616e+01
1.999996602535247803e-01,4.529842960834503174e+01
