strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,4.830859936831984669e+00
7.999968715012073517e-03,8.820891901501454413e+00
1.199979055672883987e-02,1.413041199650615454e+01
1.599993370473384857e-02,1.917251167586073279e+01
1.999928429722785950e-02,2.367889734962955117e+01
2.399908378720283508e-02,2.752082088636234403e+01
2.800061739981174469e-02,3.077899062866345048e+01
3.200063854455947876e-02,3.355648230528458953e+01
3.600130602717399597e-02,3.594240867951884866e+01
3.999888524413108826e-02,3.801612506946548820e+01
4.399931803345680237e-02,3.984290698915719986e+01
4.799989610910415649e-02,4.147542967647314072e+01
5.200096219778060913e-02,4.295182220917195082e+01
5.600120127201080322e-02,4.430150581896305084e+01
5.999952554702758789e-02,4.554699736461043358e+01
6.400122493505477905e-02,4.670498010143637657e+01
6.799999624490737915e-02,4.778274106606841087e+01
7.200177013874053955e-02,4.878550675138831139e+01
7.599955797195434570e-02,4.971910417824983597e+01
7.999832183122634888e-02,5.058770304545760155e+01
8.400037139654159546e-02,5.139504159986972809e+01
8.800123631954193115e-02,5.214362439513206482e+01
9.200063347816467285e-02,5.283651337400078773e+01
9.599869698286056519e-02,5.347906727343797684e+01
9.999967366456985474e-02,5.407670618593692780e+01
1.040003299713134766e-01,5.463407310098409653e+01
1.080013066530227661e-01,5.515478593856096268e+01
1.119993701577186584e-01,5.564248146116733551e+01
1.159987673163414001e-01,5.610046385973691940e+01
1.199996247887611389e-01,5.653351811319589615e+01
1.240016818046569824e-01,5.695518507808446884e+01
1.280004382133483887e-01,5.734466964006423950e+01
1.319982260465621948e-01,5.770598897337913513e+01
1.360000073909759521e-01,5.807535957545042038e+01
1.399987787008285522e-01,5.857478387653827667e+01
1.440004706382751465e-01,5.914418012648820877e+01
1.479987949132919312e-01,6.001684417575597763e+01
1.519990414381027222e-01,6.093373617529869080e+01
1.560001075267791748e-01,6.181326181441545486e+01
1.600006818771362305e-01,6.265457180142402649e+01
1.640011072158813477e-01,6.345397285372018814e+01
1.679986864328384399e-01,6.417271328717470169e+01
1.719993650913238525e-01,6.484944697469472885e+01
1.759993880987167358e-01,6.728804623335599899e+01
1.800009161233901978e-01,6.942136883735656738e+01
1.840007156133651733e-01,7.062882402539253235e+01
1.880000680685043335e-01,7.331052744388580322e+01
1.920002102851867676e-01,7.575742787122726440e+01
1.960000246763229370e-01,7.828483539819717407e+01
1.999996602535247803e-01,7.936253505945205688e+01
