strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,4.835277065634727478e+00
7.999968715012073517e-03,8.808665096759796143e+00
1.199979055672883987e-02,1.404650053381919861e+01
1.599993370473384857e-02,1.891366466879844666e+01
1.999928429722785950e-02,2.321384993195533752e+01
2.399908378720283508e-02,2.686616021394729614e+01
2.800061739981174469e-02,2.995264753699302673e+01
3.200063854455947876e-02,3.258973050117492676e+01
3.600130602717399597e-02,3.486907404661178589e+01
3.999888524413108826e-02,3.686709225177764893e+01
4.399931803345680237e-02,3.864217171072959900e+01
4.799989610910415649e-02,4.023384413123130798e+01
5.200096219778060913e-02,4.166891148686408997e+01
5.600120127201080322e-02,4.296497067809104919e+01
5.999952554702758789e-02,4.413677886128425598e+01
6.400122493505477905e-02,4.519996449351310730e+01
6.799999624490737915e-02,4.616652604937553406e+01
7.200177013874053955e-02,4.704734715819358826e+01
7.599955797195434570e-02,4.784984481334686279e+01
7.999832183122634888e-02,4.858030322194099426e+01
8.400037139654159546e-02,4.924531188607215881e+01
8.800123631954193115e-02,4.984812653064727783e+01
9.200063347816467285e-02,5.039028099179267883e+01
9.599869698286056519e-02,5.087281438708305359e+01
9.999967366456985474e-02,5.129574120044708252e+01
1.040003299713134766e-01,5.165790915489196777e+01
1.080013066530227661e-01,5.195764115452766418e+01
1.119993701577186584e-01,5.220400696992874146e+01
1.159987673163414001e-01,5.248208343982696533e+01
1.199996247887611389e-01,5.275219199061393738e+01
1.240016818046569824e-01,5.318500939011573792e+01
1.280004382133483887e-01,5.353827741742134094e+01
1.319982260465621948e-01,5.396892526745796204e+01
1.360000073909759521e-01,5.454584249854087830e+01
1.399987787008285522e-01,5.499241563677787781e+01
1.440004706382751465e-01,5.549492323398590088e+01
1.479987949132919312e-01,5.597579798102378845e+01
1.519990414381027222e-01,5.646547582745552063e+01
1.560001075267791748e-01,5.741038843989372253e+01
1.600006818771362305e-01,5.943627366423606873e+01
1.640011072158813477e-01,6.126226162910461426e+01
1.679986864328384399e-01,6.386749234795570374e+01
1.719993650913238525e-01,6.744790196418762207e+01
1.759993880987167358e-01,7.097750902175903320e+01
1.800009161233901978e-01,7.458904689550399780e+01
1.840007156133651733e-01,7.796827232837677002e+01
1.880000680685043335e-01,8.125769078731536865e+01
1.920002102851867676e-01,8.421325916051864624e+01
1.960000246763229370e-01,8.724619680643081665e+01
1.999996602535247803e-01,8.983552384376525879e+01
