strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,4.949463099241256714e+00
7.999968715012073517e-03,9.020483553409576416e+00
1.199979055672883987e-02,1.436782643198966980e+01
1.599993370473384857e-02,1.925932234525680542e+01
1.999928429722785950e-02,2.348935139179229736e+01
2.399908378720283508e-02,2.703675734996795654e+01
2.800061739981174469e-02,3.002481293678283691e+01
3.200063854455947876e-02,3.258924281597137451e+01
3.600130602717399597e-02,3.482153522968292236e+01
3.999888524413108826e-02,3.678942966461181641e+01
4.399931803345680237e-02,3.854723763465881348e+01
4.799989610910415649e-02,4.013562977313995361e+01
5.200096219778060913e-02,4.158265304565429688e+01
5.600120127201080322e-02,4.290693581104278564e+01
5.999952554702758789e-02,4.412339448928833008e+01
6.400122493505477905e-02,4.524864172935485840e+01
6.799999624490737915e-02,4.629543805122375488e+01
7.200177013874053955e-02,4.727302527427673340e+01
7.599955797195434570e-02,4.818710422515869141e+01
7.999832183122634888e-02,4.904219675064086914e+01
8.400037139654159546e-02,4.983982729911804199e+01
8.800123631954193115e-02,5.066100609302520752e+01
9.200063347816467285e-02,5.144471490383148193e+01
9.599869698286056519e-02,5.222992575168609619e+01
9.999967366456985474e-02,5.298681044578552246e+01
1.040003299713134766e-01,5.367366945743560791e+01
1.080013066530227661e-01,5.431356883049011230e+01
1.119993701577186584e-01,5.485930252075195312e+01
1.159987673163414001e-01,5.538220322132110596e+01
1.199996247887611389e-01,5.594558513164520264e+01
1.240016818046569824e-01,5.639191842079162598e+01
1.280004382133483887e-01,5.683215212821960449e+01
1.319982260465621948e-01,5.759052515029907227e+01
1.360000073909759521e-01,5.849619197845458984e+01
1.399987787008285522e-01,5.936400842666625977e+01
1.440004706382751465e-01,6.025387847423553467e+01
1.479987949132919312e-01,6.118626451492309570e+01
1.519990414381027222e-01,6.221042263507843018e+01
1.560001075267791748e-01,6.330850636959075928e+01
1.600006818771362305e-01,6.436553752422332764e+01
1.640011072158813477e-01,6.547599208354949951e+01
1.679986864328384399e-01,6.656103980541229248e+01
1.719993650913238525e-01,6.770704948902130127e+01
1.759993880987167358e-01,6.907774794101715088e+01
1.800009161233901978e-01,7.211108064651489258e+01
1.840007156133651733e-01,7.519177603721618652e+01
1.880000680685043335e-01,7.822097754478454590e+01
1.920002102851867676e-01,8.115874242782592773e+01
1.960000246763229370e-01,8.370838642120361328e+01
1.999996602535247803e-01,8.591839098930358887e+01
