strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,5.582375600934028625e+00
7.999968715012073517e-03,1.021441255509853363e+01
1.199979055672883987e-02,1.643668881058692932e+01
1.599993370473384857e-02,2.249024400115013123e+01
1.999928429722785950e-02,2.790330648422241211e+01
2.399908378720283508e-02,3.233437621593475342e+01
2.800061739981174469e-02,3.600034773349761963e+01
3.200063854455947876e-02,3.913587415218353271e+01
3.600130602717399597e-02,4.181609201431274414e+01
3.999888524413108826e-02,4.411729598045349121e+01
4.399931803345680237e-02,4.611914360523223877e+01
4.799989610910415649e-02,4.789287722110748291e+01
5.200096219778060913e-02,4.948830616474151611e+01
5.600120127201080322e-02,5.094426488876342773e+01
5.999952554702758789e-02,5.229027038812637329e+01
6.400122493505477905e-02,5.354958945512771606e+01
6.799999624490737915e-02,5.473872977495193481e+01
7.200177013874053955e-02,5.586999809741973877e+01
7.599955797195434570e-02,5.695094239711761475e+01
7.999832183122634888e-02,5.798716592788696289e+01
8.400037139654159546e-02,5.898493510484695435e+01
8.800123631954193115e-02,5.994956892728805542e+01
9.200063347816467285e-02,6.088416898250579834e+01
9.599869698286056519e-02,6.178637188673019409e+01
9.999967366456985474e-02,6.264877581596374512e+01
1.040003299713134766e-01,6.346134722232818604e+01
1.080013066530227661e-01,6.422147643566131592e+01
1.119993701577186584e-01,6.492963516712188721e+01
1.159987673163414001e-01,6.559397906064987183e+01
1.199996247887611389e-01,6.621978121995925903e+01
1.240016818046569824e-01,6.680970376729965210e+01
1.280004382133483887e-01,6.736519950628280640e+01
1.319982260465621948e-01,6.788716095685958862e+01
1.360000073909759521e-01,6.837511169910430908e+01
1.399987787008285522e-01,6.882805836200714111e+01
1.440004706382751465e-01,6.924648100137710571e+01
1.479987949132919312e-01,6.963032394647598267e+01
1.519990414381027222e-01,6.997875571250915527e+01
1.560001075267791748e-01,7.028967571258544922e+01
1.600006818771362305e-01,7.056005209684371948e+01
1.640011072158813477e-01,7.078655111789703369e+01
1.679986864328384399e-01,7.096398234367370605e+01
1.719993650913238525e-01,7.108542406558990479e+01
1.759993880987167358e-01,7.114428961277008057e+01
1.800009161233901978e-01,7.112992072105407715e+01
1.840007156133651733e-01,7.102812647819519043e+01
1.880000680685043335e-01,7.082323753833770752e+01
1.920002102851867676e-01,7.049256956577301025e+01
1.960000246763229370e-01,6.999846017360687256e+01
1.999996602535247803e-01,6.923826140165328979e+01
