strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,5.650835828855633736e+00
7.999968715012073517e-03,1.034082895517349243e+01
1.199979055672883987e-02,1.664909116178750992e+01
1.599993370473384857e-02,2.275864761322736740e+01
1.999928429722785950e-02,2.814173793047666550e+01
2.399908378720283508e-02,3.251144469529390335e+01
2.800061739981174469e-02,3.608314695954322815e+01
3.200063854455947876e-02,3.907494034990668297e+01
3.600130602717399597e-02,4.160074877552688122e+01
3.999888524413108826e-02,4.375261997804045677e+01
4.399931803345680237e-02,4.561571959406137466e+01
4.799989610910415649e-02,4.725967029482126236e+01
5.200096219778060913e-02,4.873938684165477753e+01
5.600120127201080322e-02,5.009477113187313080e+01
5.999952554702758789e-02,5.135418118536472321e+01
6.400122493505477905e-02,5.253947556018829346e+01
6.799999624490737915e-02,5.365339967608451843e+01
7.200177013874053955e-02,5.470105239748954773e+01
7.599955797195434570e-02,5.568818113207817078e+01
7.999832183122634888e-02,5.661958748102188110e+01
8.400037139654159546e-02,5.750753551721572876e+01
8.800123631954193115e-02,5.834121674299240112e+01
9.200063347816467285e-02,5.912489920854568481e+01
9.599869698286056519e-02,5.985611355304718018e+01
9.999967366456985474e-02,6.053591299057006836e+01
1.040003299713134766e-01,6.116723221540451050e+01
1.080013066530227661e-01,6.175593966245651245e+01
1.119993701577186584e-01,6.230771094560623169e+01
1.159987673163414001e-01,6.282617437839508057e+01
1.199996247887611389e-01,6.331407392024993896e+01
1.240016818046569824e-01,6.377397111058235168e+01
1.280004382133483887e-01,6.420735991001129150e+01
1.319982260465621948e-01,6.461550137400627136e+01
1.360000073909759521e-01,6.500013121962547302e+01
1.399987787008285522e-01,6.536210775375366211e+01
1.440004706382751465e-01,6.570258650183677673e+01
1.479987949132919312e-01,6.602226617932319641e+01
1.519990414381027222e-01,6.632133886218070984e+01
1.560001075267791748e-01,6.659977953135967255e+01
1.600006818771362305e-01,6.685671114921569824e+01
1.640011072158813477e-01,6.709027224779129028e+01
1.679986864328384399e-01,6.731083932518959045e+01
1.719993650913238525e-01,6.751036889851093292e+01
1.759993880987167358e-01,6.768830204755067825e+01
1.800009161233901978e-01,6.786642229557037354e+01
1.840007156133651733e-01,6.795917695760726929e+01
1.880000680685043335e-01,6.800532049685716629e+01
1.920002102851867676e-01,6.800925725325942039e+01
1.960000246763229370e-01,6.791731298642116599e+01
1.999996602535247803e-01,6.759204963687807322e+01
