strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,5.693151585757732391e+00
7.999968715012073517e-03,1.041672845184803009e+01
1.199979055672883987e-02,1.673353773355484009e+01
1.599993370473384857e-02,2.265910097956657410e+01
1.999928429722785950e-02,2.784475865960121155e+01
2.399908378720283508e-02,3.215546306967735291e+01
2.800061739981174469e-02,3.565925839543342590e+01
3.200063854455947876e-02,3.855354046821594238e+01
3.600130602717399597e-02,4.102196471393108368e+01
3.999888524413108826e-02,4.317331446707248688e+01
4.399931803345680237e-02,4.507860768586397171e+01
4.799989610910415649e-02,4.678606369346380234e+01
5.200096219778060913e-02,4.833434460498392582e+01
5.600120127201080322e-02,4.975458752457052469e+01
5.999952554702758789e-02,5.105983933806419373e+01
6.400122493505477905e-02,5.226013253629207611e+01
6.799999624490737915e-02,5.337032666802406311e+01
7.200177013874053955e-02,5.440431223809719086e+01
7.599955797195434570e-02,5.537139351665973663e+01
7.999832183122634888e-02,5.627960065007209778e+01
8.400037139654159546e-02,5.713712167739868164e+01
8.800123631954193115e-02,5.794923815131187439e+01
9.200063347816467285e-02,5.872080603241920471e+01
9.599869698286056519e-02,5.945688042044639587e+01
9.999967366456985474e-02,6.015989884734153748e+01
1.040003299713134766e-01,6.083130770921707153e+01
1.080013066530227661e-01,6.147228366136550903e+01
1.119993701577186584e-01,6.208381336927413940e+01
1.159987673163414001e-01,6.266723752021789551e+01
1.199996247887611389e-01,6.322320765256881714e+01
1.240016818046569824e-01,6.375058424472808838e+01
1.280004382133483887e-01,6.424744784832000732e+01
1.319982260465621948e-01,6.471280044317245483e+01
1.360000073909759521e-01,6.514559805393218994e+01
1.399987787008285522e-01,6.554357749223709106e+01
1.440004706382751465e-01,6.590488910675048828e+01
1.479987949132919312e-01,6.622664308547973633e+01
1.519990414381027222e-01,6.650579386949539185e+01
1.560001075267791748e-01,6.673974478244781494e+01
1.600006818771362305e-01,6.692635416984558105e+01
1.640011072158813477e-01,6.706853312253952026e+01
1.679986864328384399e-01,6.718908363580703735e+01
1.719993650913238525e-01,6.739800912141799927e+01
1.759993880987167358e-01,6.770592582225799561e+01
1.800009161233901978e-01,6.790895324945449829e+01
1.840007156133651733e-01,6.813826692104339600e+01
1.880000680685043335e-01,6.833293360471725464e+01
1.920002102851867676e-01,6.842270243167877197e+01
1.960000246763229370e-01,6.838809955120086670e+01
1.999996602535247803e-01,6.810153055191040039e+01
