strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,5.490864962339401245e+00
7.999968715012073517e-03,1.004940879344940186e+01
1.199979055672883987e-02,1.618348705768585205e+01
1.599993370473384857e-02,2.214486259222030640e+01
1.999928429722785950e-02,2.738984823226928711e+01
2.399908378720283508e-02,3.169092345237731934e+01
2.800061739981174469e-02,3.524682772159576416e+01
3.200063854455947876e-02,3.823209333419799805e+01
3.600130602717399597e-02,4.076136732101440430e+01
3.999888524413108826e-02,4.292494893074035645e+01
4.399931803345680237e-02,4.481259202957153320e+01
4.799989610910415649e-02,4.649153709411621094e+01
5.200096219778060913e-02,4.800680112838745117e+01
5.600120127201080322e-02,4.939610242843627930e+01
5.999952554702758789e-02,5.068745422363281250e+01
6.400122493505477905e-02,5.190182423591613770e+01
6.799999624490737915e-02,5.305180501937866211e+01
7.200177013874053955e-02,5.414734411239624023e+01
7.599955797195434570e-02,5.519534301757812500e+01
7.999832183122634888e-02,5.620265293121337891e+01
8.400037139654159546e-02,5.717662239074707031e+01
8.800123631954193115e-02,5.811842727661132812e+01
9.200063347816467285e-02,5.901852130889892578e+01
9.599869698286056519e-02,5.986020040512084961e+01
9.999967366456985474e-02,6.063704705238342285e+01
1.040003299713134766e-01,6.135514664649963379e+01
1.080013066530227661e-01,6.202505898475646973e+01
1.119993701577186584e-01,6.265017986297607422e+01
1.159987673163414001e-01,6.323520970344543457e+01
1.199996247887611389e-01,6.378399705886840820e+01
1.240016818046569824e-01,6.429950833320617676e+01
1.280004382133483887e-01,6.478349041938781738e+01
1.319982260465621948e-01,6.523655366897583008e+01
1.360000073909759521e-01,6.565868616104125977e+01
1.399987787008285522e-01,6.604857587814331055e+01
1.440004706382751465e-01,6.640547084808349609e+01
1.479987949132919312e-01,6.672998952865600586e+01
1.519990414381027222e-01,6.702143025398254395e+01
1.560001075267791748e-01,6.727728056907653809e+01
1.600006818771362305e-01,6.749538111686706543e+01
1.640011072158813477e-01,6.767417573928833008e+01
1.679986864328384399e-01,6.781153416633605957e+01
1.719993650913238525e-01,6.790448451042175293e+01
1.759993880987167358e-01,6.794985866546630859e+01
1.800009161233901978e-01,6.795792007446289062e+01
1.840007156133651733e-01,6.792499542236328125e+01
1.880000680685043335e-01,6.784651613235473633e+01
1.920002102851867676e-01,6.765299940109252930e+01
1.960000246763229370e-01,6.729795932769775391e+01
1.999996602535247803e-01,6.665655827522277832e+01
