strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,1.764508230611681938e+00
7.999968715012073517e-03,3.185548149049282074e+00
1.199979055672883987e-02,4.999927606433629990e+00
1.599993370473384857e-02,6.574435561895370483e+00
1.999928429722785950e-02,7.860572375357151031e+00
2.399908378720283508e-02,8.888209305703639984e+00
2.800061739981174469e-02,9.703447014093399048e+00
3.200063854455947876e-02,1.035108619555830956e+01
3.600130602717399597e-02,1.087328534573316574e+01
3.999888524413108826e-02,1.129720397666096687e+01
4.399931803345680237e-02,1.163995837233960629e+01
4.799989610910415649e-02,1.191678713879082352e+01
5.200096219778060913e-02,1.214101185742765665e+01
5.600120127201080322e-02,1.232327936775982380e+01
5.999952554702758789e-02,1.247050087526440620e+01
6.400122493505477905e-02,1.258736765384674072e+01
6.799999624490737915e-02,1.267752696946263313e+01
7.200177013874053955e-02,1.274398650974035263e+01
7.599955797195434570e-02,1.278953083604574203e+01
7.999832183122634888e-02,1.281687955930829048e+01
8.400037139654159546e-02,1.282867713272571564e+01
8.800123631954193115e-02,1.282733398582786322e+01
9.200063347816467285e-02,1.281507561453327071e+01
9.599869698286056519e-02,1.279397462029010057e+01
9.999967366456985474e-02,1.276599152386188507e+01
1.040003299713134766e-01,1.298383286781609058e+01
1.080013066530227661e-01,1.502009251154959202e+01
1.119993701577186584e-01,1.758701705932617188e+01
1.159987673163414001e-01,2.081378056295216084e+01
1.199996247887611389e-01,2.413182775303721428e+01
1.240016818046569824e-01,2.727868651971220970e+01
1.280004382133483887e-01,3.017465867474675179e+01
1.319982260465621948e-01,3.278110627457499504e+01
1.360000073909759521e-01,3.513481902121566236e+01
1.399987787008285522e-01,3.722480875859037042e+01
1.440004706382751465e-01,3.916826395457610488e+01
1.479987949132919312e-01,4.100728726247325540e+01
1.519990414381027222e-01,4.274127946607768536e+01
1.560001075267791748e-01,4.431714868731796741e+01
1.600006818771362305e-01,4.574547168426215649e+01
1.640011072158813477e-01,4.703573663160204887e+01
1.679986864328384399e-01,4.820599566958844662e+01
1.719993650913238525e-01,4.929011223837733269e+01
1.759993880987167358e-01,5.026928919367492199e+01
1.800009161233901978e-01,5.113941761851310730e+01
1.840007156133651733e-01,5.189906559046357870e+01
1.880000680685043335e-01,5.254153698030859232e+01
1.920002102851867676e-01,5.305702193966135383e+01
1.960000246763229370e-01,5.341810392437037081e+01
1.999996602535247803e-01,5.350671152863651514e+01
