strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,2.939703525975346565e+00
7.999968715012073517e-03,5.363480594009160995e+00
1.199979055672883987e-02,8.571316050365567207e+00
1.599993370473384857e-02,1.154471137002110481e+01
1.999928429722785950e-02,1.409699562937021255e+01
2.399908378720283508e-02,1.618270184472203255e+01
2.800061739981174469e-02,1.788463136553764343e+01
3.200063854455947876e-02,1.928663211688399315e+01
3.600130602717399597e-02,2.045412477478384972e+01
3.999888524413108826e-02,2.144084984064102173e+01
4.399931803345680237e-02,2.229270773380994797e+01
4.799989610910415649e-02,2.304419858008623123e+01
5.200096219778060913e-02,2.371901385113596916e+01
5.600120127201080322e-02,2.433489739894866943e+01
5.999952554702758789e-02,2.490232357382774353e+01
6.400122493505477905e-02,2.542410900443792343e+01
6.799999624490737915e-02,2.590043996647000313e+01
7.200177013874053955e-02,2.633286822587251663e+01
7.599955797195434570e-02,2.672552685067057610e+01
7.999832183122634888e-02,2.708340924605727196e+01
8.400037139654159546e-02,2.741141565144062042e+01
8.800123631954193115e-02,2.771227951347827911e+01
9.200063347816467285e-02,2.798751445114612579e+01
9.599869698286056519e-02,2.823860212787985802e+01
9.999967366456985474e-02,2.846701024100184441e+01
1.040003299713134766e-01,2.867410881444811821e+01
1.080013066530227661e-01,2.886111153662204742e+01
1.119993701577186584e-01,2.902903036214411259e+01
1.159987673163414001e-01,2.917872780561447144e+01
1.199996247887611389e-01,2.931103944033384323e+01
1.240016818046569824e-01,2.942695432528853416e+01
1.280004382133483887e-01,2.952735705301165581e+01
1.319982260465621948e-01,2.961319900862872601e+01
1.360000073909759521e-01,2.971474174968898296e+01
1.399987787008285522e-01,2.991499174199998379e+01
1.440004706382751465e-01,3.013075309572741389e+01
1.479987949132919312e-01,3.040779237356036901e+01
1.519990414381027222e-01,3.081819605920463800e+01
1.560001075267791748e-01,3.123917595483362675e+01
1.600006818771362305e-01,3.166871291771531105e+01
1.640011072158813477e-01,3.206596381310373545e+01
1.679986864328384399e-01,3.239078917354345322e+01
1.719993650913238525e-01,3.289229170791804790e+01
1.759993880987167358e-01,3.331539343297481537e+01
1.800009161233901978e-01,3.357882934808731079e+01
1.840007156133651733e-01,3.407044652849435806e+01
1.880000680685043335e-01,3.443013087473809719e+01
1.920002102851867676e-01,3.457341784611344337e+01
1.960000246763229370e-01,3.458377404324710369e+01
1.999996602535247803e-01,3.434782586246728897e+01
