strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,2.883181540062651038e+00
7.999968715012073517e-03,5.259692594874650240e+00
1.199979055672883987e-02,8.410089822020381689e+00
1.599993370473384857e-02,1.137027619592845440e+01
1.999928429722785950e-02,1.397397761233150959e+01
2.399908378720283508e-02,1.616507035121321678e+01
2.800061739981174469e-02,1.799226322583854198e+01
3.200063854455947876e-02,1.951404451206326485e+01
3.600130602717399597e-02,2.078820293024182320e+01
3.999888524413108826e-02,2.186957533285021782e+01
4.399931803345680237e-02,2.280376465618610382e+01
4.799989610910415649e-02,2.362518978863954544e+01
5.200096219778060913e-02,2.435853890329599380e+01
5.600120127201080322e-02,2.502034264802932739e+01
5.999952554702758789e-02,2.562354435771703720e+01
6.400122493505477905e-02,2.617658787965774536e+01
6.799999624490737915e-02,2.667385445535182953e+01
7.200177013874053955e-02,2.711036700755357742e+01
7.599955797195434570e-02,2.749416963011026382e+01
7.999832183122634888e-02,2.783294916898012161e+01
8.400037139654159546e-02,2.813375791907310486e+01
8.800123631954193115e-02,2.840243765711784363e+01
9.200063347816467285e-02,2.864282959699630737e+01
9.599869698286056519e-02,2.885736051946878433e+01
9.999967366456985474e-02,2.904809147864580154e+01
1.040003299713134766e-01,2.921671201288700104e+01
1.080013066530227661e-01,2.936412057280540466e+01
1.119993701577186584e-01,2.949068277329206467e+01
1.159987673163414001e-01,2.959642625600099564e+01
1.199996247887611389e-01,2.968115714192390442e+01
1.240016818046569824e-01,2.974464755505323410e+01
1.280004382133483887e-01,2.978735069185495377e+01
1.319982260465621948e-01,2.981035486608743668e+01
1.360000073909759521e-01,2.982505259662866592e+01
1.399987787008285522e-01,2.984218450635671616e+01
1.440004706382751465e-01,2.993089923262596130e+01
1.479987949132919312e-01,2.999979362636804581e+01
1.519990414381027222e-01,3.006840729713439941e+01
1.560001075267791748e-01,3.013041528314352036e+01
1.600006818771362305e-01,3.018575558811426163e+01
1.640011072158813477e-01,3.024314203858375549e+01
1.679986864328384399e-01,3.035389389842748642e+01
1.719993650913238525e-01,3.039348016679286957e+01
1.759993880987167358e-01,3.038047414273023605e+01
1.800009161233901978e-01,3.046586246043443680e+01
1.840007156133651733e-01,3.053597987443208694e+01
1.880000680685043335e-01,3.188654738664627075e+01
1.920002102851867676e-01,3.352550375461578369e+01
1.960000246763229370e-01,3.513824522495269775e+01
1.999996602535247803e-01,3.694440525770187378e+01
